Java HotSpot(TM) 64-Bit Server VM (25.65-b01) for linux-amd64 JRE (1.8.0_65-b17), built on Oct  6 2015 17:16:12 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32862844k(6189448k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
1.022: [GC (Allocation Failure) [PSYoungGen: 33280K->3152K(38400K)] 33280K->3160K(125952K), 0.0079702 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.377: [GC (Allocation Failure) [PSYoungGen: 36432K->3377K(38400K)] 36440K->3393K(125952K), 0.0090612 secs] [Times: user=0.03 sys=0.01, real=0.01 secs] 
1.653: [GC (Allocation Failure) [PSYoungGen: 36657K->4378K(38400K)] 36673K->4402K(125952K), 0.0075167 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.884: [GC (Allocation Failure) [PSYoungGen: 37658K->4464K(38400K)] 37682K->4496K(125952K), 0.0121167 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2.096: [GC (GCLocker Initiated GC) [PSYoungGen: 37744K->5099K(38400K)] 37780K->5313K(125952K), 0.0075665 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2.344: [GC (Allocation Failure) [PSYoungGen: 38379K->5106K(38400K)] 38602K->6726K(125952K), 0.0114029 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2.573: [GC (Allocation Failure) [PSYoungGen: 38386K->5104K(38400K)] 40006K->8625K(125952K), 0.0127494 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2.631: [GC (Metadata GC Threshold) [PSYoungGen: 24368K->5111K(38400K)] 27889K->8752K(125952K), 0.0106465 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2.642: [Full GC (Metadata GC Threshold) [PSYoungGen: 5111K->0K(38400K)] [ParOldGen: 3640K->5171K(87552K)] 8752K->5171K(125952K), [Metaspace: 20545K->20545K(1067008K)], 0.0511615 secs] [Times: user=0.13 sys=0.01, real=0.06 secs] 
3.127: [GC (Allocation Failure) [PSYoungGen: 33280K->2608K(38400K)] 38451K->7788K(125952K), 0.0113390 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
3.555: [GC (Allocation Failure) [PSYoungGen: 35888K->4203K(38400K)] 41068K->9391K(125952K), 0.0071974 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
3.918: [GC (Allocation Failure) [PSYoungGen: 37483K->4039K(38400K)] 42671K->9234K(125952K), 0.0090837 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
4.286: [GC (Allocation Failure) [PSYoungGen: 37319K->5108K(38400K)] 42514K->10404K(125952K), 0.0143809 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
4.709: [GC (Allocation Failure) [PSYoungGen: 38388K->5104K(38400K)] 43684K->15572K(125952K), 0.0169672 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
5.088: [GC (Allocation Failure) [PSYoungGen: 38384K->5108K(38400K)] 48852K->17493K(125952K), 0.0115804 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
5.358: [GC (Allocation Failure) [PSYoungGen: 38388K->5108K(38400K)] 50773K->18661K(125952K), 0.0111323 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
5.639: [GC (Allocation Failure) [PSYoungGen: 38388K->5088K(38400K)] 51941K->19942K(125952K), 0.0173686 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
5.923: [GC (Allocation Failure) [PSYoungGen: 38368K->5108K(38400K)] 53222K->21528K(125952K), 0.0179790 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
6.215: [GC (Allocation Failure) [PSYoungGen: 38388K->5088K(38400K)] 54808K->22650K(125952K), 0.0165763 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
6.968: [GC (Metadata GC Threshold) [PSYoungGen: 37649K->5088K(38400K)] 55211K->26060K(125952K), 0.0231002 secs] [Times: user=0.08 sys=0.00, real=0.02 secs] 
6.991: [Full GC (Metadata GC Threshold) [PSYoungGen: 5088K->0K(38400K)] [ParOldGen: 20972K->20287K(87552K)] 26060K->20287K(125952K), [Metaspace: 33891K->33891K(1079296K)], 0.2419950 secs] [Times: user=0.86 sys=0.02, real=0.24 secs] 
7.594: [GC (Allocation Failure) [PSYoungGen: 33280K->5105K(38400K)] 53567K->35950K(125952K), 0.0180628 secs] [Times: user=0.04 sys=0.02, real=0.01 secs] 
8.208: [GC (Allocation Failure) [PSYoungGen: 38385K->5105K(38400K)] 69230K->42425K(125952K), 0.0139840 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
8.639: [GC (Allocation Failure) [PSYoungGen: 38385K->5105K(38400K)] 75705K->43010K(125952K), 0.0075176 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
8.969: [GC (Allocation Failure) [PSYoungGen: 38385K->5105K(38400K)] 76290K->43162K(125952K), 0.0093517 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
9.278: [GC (Allocation Failure) [PSYoungGen: 38385K->5089K(38400K)] 76442K->43290K(125952K), 0.0075465 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
9.581: [GC (Allocation Failure) [PSYoungGen: 38369K->5105K(38400K)] 76570K->43506K(125952K), 0.0084910 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
9.957: [GC (Allocation Failure) [PSYoungGen: 38385K->5089K(38400K)] 76786K->43514K(125952K), 0.0126289 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
10.242: [GC (Allocation Failure) [PSYoungGen: 38369K->5105K(38400K)] 76794K->43578K(125952K), 0.0063013 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
10.562: [GC (Allocation Failure) [PSYoungGen: 38377K->5089K(38400K)] 76850K->43570K(125952K), 0.0056126 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
