Java HotSpot(TM) 64-Bit Server VM (25.65-b01) for linux-amd64 JRE (1.8.0_65-b17), built on Oct  6 2015 17:16:12 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 32862844k(11015288k free), swap 0k(0k free)
CommandLine flags: -XX:InitialHeapSize=134217728 -XX:MaxHeapSize=134217728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
1.464: [GC (Allocation Failure) 1.464: [DefNew: 34944K->3114K(39296K), 0.0102291 secs] 34944K->3114K(126720K), 0.0103383 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
1.961: [GC (Allocation Failure) 1.961: [DefNew: 38058K->1612K(39296K), 0.0092144 secs] 38058K->3426K(126720K), 0.0092855 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2.358: [GC (Allocation Failure) 2.358: [DefNew: 36556K->2443K(39296K), 0.0075586 secs] 38370K->4256K(126720K), 0.0076360 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.663: [GC (Allocation Failure) 2.663: [DefNew: 37387K->2223K(39296K), 0.0084195 secs] 39200K->4604K(126720K), 0.0084941 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2.937: [GC (Allocation Failure) 2.937: [DefNew: 37167K->2583K(39296K), 0.0075603 secs] 39548K->5563K(126720K), 0.0076371 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
3.196: [GC (Allocation Failure) 3.196: [DefNew: 37527K->3002K(39296K), 0.0083187 secs] 40507K->6619K(126720K), 0.0083938 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
3.456: [GC (Allocation Failure) 3.456: [DefNew: 37946K->2035K(39296K), 0.0089744 secs] 41563K->6460K(126720K), 0.0090407 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
3.486: [Full GC (Metadata GC Threshold) 3.486: [Tenured: 4424K->5154K(87424K), 0.0353072 secs] 12351K->5154K(126720K), [Metaspace: 20524K->20524K(1067008K)], 0.0353930 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
4.031: [GC (Allocation Failure) 4.031: [DefNew: 34944K->2740K(39296K), 0.0082923 secs] 40098K->7895K(126720K), 0.0083749 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
4.689: [GC (Allocation Failure) 4.689: [DefNew: 37684K->2526K(39296K), 0.0197188 secs] 42839K->9298K(126720K), 0.0197997 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
5.321: [GC (Allocation Failure) 5.321: [DefNew: 37470K->1140K(39296K), 0.0131466 secs] 44242K->9095K(126720K), 0.0132216 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
5.837: [GC (Allocation Failure) 5.837: [DefNew: 36084K->2586K(39296K), 0.0107031 secs] 44039K->10541K(126720K), 0.0107782 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
6.450: [GC (Allocation Failure) 6.450: [DefNew: 37530K->4352K(39296K), 0.0161466 secs] 45485K->15907K(126720K), 0.0162286 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
6.899: [GC (Allocation Failure) 6.899: [DefNew: 39296K->1728K(39296K), 0.0137152 secs] 50851K->17621K(126720K), 0.0137861 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
7.332: [GC (Allocation Failure) 7.332: [DefNew: 36672K->2111K(39296K), 0.0104123 secs] 52565K->18005K(126720K), 0.0104832 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
7.696: [GC (Allocation Failure) 7.696: [DefNew: 37055K->3520K(39296K), 0.0120274 secs] 52949K->19414K(126720K), 0.0121056 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
